id,location,file,line,category,pattern,android16_impact,migration,risk,effort,mte_impact,status,notes
USB-001,libuvc/src/device.c,device.c,277,DIRECT_DEVICE_ACCESS,libusb_open(),Privacy Sandbox flag + SELinux denial,libusb_wrap_sys_device(),Critical,High,N/A,Pending,"Primary device open in uvc_open()"
USB-002,libuvc/src/device.c,device.c,509,DIRECT_DEVICE_ACCESS,libusb_open(),Privacy Sandbox flag,libusb_wrap_sys_device(),Critical,High,N/A,Pending,"Secondary device open"
USB-003,libuvc/src/device.c,device.c,603,HIDDEN_HARDWARE_DISCOVERY,libusb_get_device_list(),Privacy Sandbox flag,Remove - use framework discovery,Critical,Medium,N/A,Pending,"Device enumeration in uvc_find_device()"
USB-004,UVCCamera/UVCCamera.cpp,UVCCamera.cpp,466,DIRECT_DEVICE_ACCESS,libusb_open(),SELinux denial,FD injection,Critical,Medium,N/A,Pending,"USB handle opening"
USB-005,libusb/os/android_usbfs.c,android_usbfs.c,318,HIDDEN_HARDWARE_DISCOVERY,opendir(dirname),SELinux denial,Remove - use FD injection,Critical,High,N/A,Pending,"Directory enumeration"
USB-006,libusb/os/android_usbfs.c,android_usbfs.c,1542,HIDDEN_HARDWARE_DISCOVERY,opendir(usbfs_path),SELinux denial,Remove - use FD injection,Critical,High,N/A,Pending,"Bus enumeration"
USB-007,libusb/libusb.h,libusb.h,147,LIBUSB_VERSION,API 0x01000103 (1.0.19),Missing wrap_sys_device,Upgrade to 1.0.23+,Critical,High,N/A,Pending,"libusb version too old for FD injection"
JNI-001,UVCCamera/UVCCamera.cpp,UVCCamera.cpp,758,JNI_POINTER_CAST,reinterpret_cast<jlong>(ring),MTE provenance loss,Use HandleManager,Medium,Low,Provenance loss,Pending,"Ring buffer handle return"
JNI-002,UVCCamera/EGLImageHelperJNI.cpp,EGLImageHelperJNI.cpp,282,JNI_POINTER_CAST,reinterpret_cast<jlong>(image),MTE provenance loss,Review - platform opaque handle,Low,Low,Unknown,Review,"EGLImage handle return"
JNI-003,UVCCamera/EGLImageHelperJNI.cpp,EGLImageHelperJNI.cpp,419,JNI_POINTER_CAST,reinterpret_cast<jlong>(sync),MTE provenance loss,Review - platform opaque handle,Low,Low,Unknown,Review,"EGLSync handle return"
MANIFEST-001,lib/src/main/AndroidManifest.xml,AndroidManifest.xml,1,FGS_MISSING,Missing FOREGROUND_SERVICE,USB connection drops on screen lock,Add permission + service,High,Low,N/A,Pending,"No FGS declaration"
MANIFEST-002,lib/src/main/AndroidManifest.xml,AndroidManifest.xml,1,FGS_MISSING,Missing FOREGROUND_SERVICE_CONNECTED_DEVICE,Cannot use connectedDevice type,Add permission,High,Low,N/A,Pending,"Missing Android 14+ permission"
MANIFEST-003,lib/src/main/AndroidManifest.xml,AndroidManifest.xml,1,NOTIFICATION_MISSING,Missing POST_NOTIFICATIONS,FGS notification blocked on API 33+,Add permission,Medium,Low,N/A,Pending,"Missing Android 13+ permission"
STORAGE-001,N/A,N/A,N/A,COMPLIANT,No raw /sdcard/ access,N/A,N/A,None,N/A,N/A,Compliant,"UVCCamera core code is Scoped Storage compliant"
MTE-001,UVCCamera/HandleManager.h,HandleManager.h,75,MTE_SAFE,uintptr_t ContextPtr,Preserves MTE tags,N/A,None,N/A,Tag preserved,Compliant,"Exemplary MTE-safe implementation"
MTE-002,UVCCamera/HandleManager.h,HandleManager.h,91,MTE_SAFE,atomic<ContextPtr>,Atomic preserves tags,N/A,None,N/A,Tag preserved,Compliant,"Atomic storage preserves TBI"
