id,document,category,severity,finding,recommendation,status,notes
MK-001,BUILD-001,ANDROID_MK,Low,"Module name inconsistency (libusb100 vs usb100)",Document or rename,Pending,"ndk-build strips lib prefix"
MK-002,BUILD-001,ANDROID_MK,Info,"Disabled example/test builds",Keep disabled for production,Acknowledged,
MK-003,BUILD-001,ANDROID_MK,Info,"Original files retained alongside modified",Document for reference,Acknowledged,
MK-004,BUILD-001,ANDROID_MK,Medium,"MIPS references in libjpeg-turbo (deprecated ABI)",Remove deprecated code,Optional,
APP-001,BUILD-002,APPLICATION_MK,Medium,"APP_PLATFORM=android-26 is dated",Update to android-34,Pending,
APP-002,BUILD-002,APPLICATION_MK,Low,"Missing x86_64 for emulator testing",Add if needed,Optional,
APP-003,BUILD-002,APPLICATION_MK,Info,"armeabi-v7a NEON disabled",Enable for performance,Optional,
APP-004,BUILD-002,APPLICATION_MK,Info,"Conflicting libusb Application.mk",Document inheritance,Acknowledged,
FLAG-001,BUILD-003,COMPILER_FLAGS,Low,"NEON disabled for armeabi-v7a",Enable LOCAL_ARM_NEON,Optional,
FLAG-002,BUILD-003,COMPILER_FLAGS,Info,"-O3 inconsistent across modules",Standardize or document,Optional,
FLAG-003,BUILD-003,COMPILER_FLAGS,Low,"DISABLE_FATAL_LINKER_WARNINGS used",Review underlying issues,Pending,
FLAG-004,BUILD-003,COMPILER_FLAGS,Info,"Missing explicit security flags",Document NDK defaults,Acknowledged,
FLAG-005,BUILD-003,COMPILER_FLAGS,Info,"arm mode increases code size",Consider thumb for non-critical,Optional,
DEP-001,BUILD-004,DEPENDENCIES,Info,"Deep dependency chain (3 levels)",Acceptable for architecture,Acknowledged,
DEP-002,BUILD-004,DEPENDENCIES,Info,"Dual static/shared pattern used",Maintains flexibility,Acknowledged,
DEP-003,BUILD-004,DEPENDENCIES,Low,"jpeg linked both static and shared",Check for symbol duplication,Review,
PLAT-001,BUILD-005,PLATFORM,Info,"x86/x86_64 code present but not built",Enable for emulator,Optional,
PLAT-002,BUILD-005,PLATFORM,Low,"armeabi-v7a NEON not explicitly enabled",Enable for performance,Optional,
PLAT-003,BUILD-005,PLATFORM,Info,"Deprecated ABI code (armeabi/mips) present",Remove for clarity,Optional,
PLAT-004,BUILD-005,PLATFORM,Info,"MIPS GCC workaround obsolete",Remove dead code,Optional,
SEC-001,BUILD-006,SECURITY,Low,"MTE not configured for arm64-v8a",Add for Android 16+,Pending,
SEC-002,BUILD-006,SECURITY,Info,"DISABLE_FATAL_LINKER_WARNINGS suppresses warnings",Review suppressed warnings,Review,
SEC-003,BUILD-006,SECURITY,Low,"No explicit format-security flag",Add -Werror=format-security,Optional,
SEC-004,BUILD-006,SECURITY,Info,"-Werror declared but may not be active",Verify in build output,Review,
ABI-001,BUILD-007,ABI,Low,"x86_64 not built",Add for emulator testing,Optional,
ABI-002,BUILD-007,ABI,Info,"armeabi-v7a NEON not forced",Enable LOCAL_ARM_NEON,Optional,
ABI-003,BUILD-007,ABI,Info,"arm mode increases binary size",Consider thumb mode,Optional,
ABI-004,BUILD-007,ABI,Info,"riscv64 not supported",Correct - not stable,Acknowledged,
ART-001,BUILD-008,ARTIFACTS,Info,"Static libs are large",Normal for archives,Acknowledged,
ART-002,BUILD-008,ARTIFACTS,Info,"4 shared libs per ABI",Consider consolidation,Optional,
ART-003,BUILD-008,ARTIFACTS,Low,"No debug symbols in release",Expected for release,Acknowledged,
MIG-001,BUILD-009,MIGRATION,Info,"CMake migration is optional",Only if benefits outweigh effort,Acknowledged,
MIG-002,BUILD-009,MIGRATION,Low,"WHOLE_ARCHIVE requires CMake 3.24+",Use modern CMake,N/A,
MIG-003,BUILD-009,MIGRATION,Info,"Parallel build validation needed",Build both systems,N/A,
